epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.057,1.20312,0.66539,1.09794,0.9348,0.86867,0.94953,0.62396,1.26044,0.61656,1.09652,0.000555434,0.000555434,0.000555434
2,662.001,1.23085,0.70105,1.11354,0.93372,0.87696,0.94816,0.63179,1.20497,0.60059,1.08221,0.0010836,0.0010836,0.0010836
3,981.744,1.23446,0.71435,1.12487,0.90897,0.88251,0.9443,0.6357,1.21617,0.62627,1.09577,0.00158426,0.00158426,0.00158426
4,1285.55,1.24329,0.73273,1.12674,0.92868,0.8786,0.94587,0.63039,1.2299,0.61694,1.09312,0.00154323,0.00154323,0.00154323
5,1583,1.23294,0.71518,1.12599,0.912,0.88478,0.94496,0.63659,1.21455,0.60424,1.09296,0.00150197,0.00150197,0.00150197
6,1879.61,1.23266,0.7008,1.12718,0.94434,0.88025,0.95403,0.63314,1.22966,0.59794,1.09898,0.00146071,0.00146071,0.00146071
7,2164.88,1.23343,0.69842,1.12618,0.93253,0.89459,0.9488,0.63799,1.20822,0.60334,1.08793,0.00141945,0.00141945,0.00141945
8,2446.59,1.21473,0.6754,1.11222,0.93578,0.87921,0.95573,0.63123,1.2432,0.57934,1.10284,0.00137819,0.00137819,0.00137819
9,2732.66,1.19992,0.66813,1.10821,0.92209,0.89612,0.95283,0.63564,1.21739,0.5941,1.09197,0.00133693,0.00133693,0.00133693
10,3028.27,1.20337,0.66262,1.10524,0.93152,0.89006,0.95626,0.65087,1.19291,0.5656,1.08761,0.00129568,0.00129568,0.00129568
11,3322.06,1.19614,0.64338,1.10521,0.945,0.88636,0.95532,0.64711,1.2054,0.55792,1.09085,0.00125442,0.00125442,0.00125442
12,3653.24,1.19018,0.64011,1.10673,0.92478,0.90017,0.95561,0.64399,1.2012,0.5516,1.0932,0.00121316,0.00121316,0.00121316
13,3994.73,1.19092,0.64122,1.10678,0.94266,0.89474,0.95771,0.65276,1.19787,0.54869,1.08841,0.0011719,0.0011719,0.0011719
14,4294.88,1.18753,0.62526,1.09851,0.92704,0.8994,0.95476,0.65386,1.17505,0.55728,1.07678,0.00113064,0.00113064,0.00113064
15,4605.12,1.1745,0.62577,1.09385,0.92379,0.9012,0.95593,0.65726,1.18013,0.54087,1.08232,0.00108938,0.00108938,0.00108938
16,4901.76,1.16873,0.61434,1.08865,0.93896,0.88948,0.95722,0.65861,1.18319,0.54169,1.08176,0.00104813,0.00104813,0.00104813
17,5194.68,1.17048,0.61259,1.09406,0.91778,0.90716,0.95693,0.6548,1.18785,0.54204,1.07845,0.00100687,0.00100687,0.00100687
18,5482.85,1.1659,0.59609,1.0904,0.92655,0.8971,0.95623,0.65671,1.17995,0.54586,1.07278,0.00096561,0.00096561,0.00096561
19,5768.36,1.15676,0.60142,1.08403,0.92515,0.90792,0.95965,0.6523,1.1906,0.53204,1.08268,0.000924352,0.000924352,0.000924352
20,6052.96,1.15708,0.5908,1.08496,0.93711,0.89942,0.95874,0.65823,1.17361,0.52427,1.0821,0.000883093,0.000883093,0.000883093
21,6339.49,1.15245,0.58848,1.08322,0.94552,0.88256,0.96153,0.65869,1.18345,0.52142,1.07627,0.000841835,0.000841835,0.000841835
22,6624.37,1.15728,0.58501,1.08588,0.93379,0.90156,0.9613,0.66097,1.17777,0.51768,1.07449,0.000800577,0.000800577,0.000800577
23,6909.75,1.14344,0.5814,1.07592,0.94217,0.905,0.96313,0.66506,1.17118,0.50775,1.07646,0.000759318,0.000759318,0.000759318
24,7194.88,1.14124,0.56545,1.07459,0.94427,0.90247,0.96151,0.66611,1.17339,0.50925,1.07411,0.00071806,0.00071806,0.00071806
25,7481.35,1.13135,0.56305,1.07336,0.92898,0.91331,0.96287,0.6638,1.16932,0.50677,1.07228,0.000676802,0.000676802,0.000676802
26,7766.3,1.13075,0.55957,1.07161,0.93817,0.90593,0.96269,0.66103,1.16908,0.5045,1.07441,0.000635544,0.000635544,0.000635544
27,8054.61,1.12423,0.5562,1.06508,0.92444,0.92369,0.96421,0.67045,1.17057,0.49714,1.07135,0.000594286,0.000594286,0.000594286
28,8338.95,1.11329,0.54528,1.06319,0.94104,0.90031,0.96384,0.66773,1.16379,0.49953,1.0673,0.000553027,0.000553027,0.000553027
29,8623.81,1.11141,0.54785,1.0603,0.93152,0.92111,0.96428,0.67012,1.16148,0.50024,1.06349,0.000511769,0.000511769,0.000511769
30,8909.13,1.10886,0.54214,1.05772,0.93041,0.90919,0.96401,0.66089,1.1651,0.49586,1.07098,0.000470511,0.000470511,0.000470511
31,9179.74,1.08193,0.48146,1.05316,0.93451,0.90976,0.96223,0.67205,1.15763,0.49075,1.07039,0.000429253,0.000429253,0.000429253
32,9451.05,1.07289,0.47567,1.05021,0.95168,0.89323,0.9649,0.67359,1.16375,0.49943,1.07195,0.000387994,0.000387994,0.000387994
33,9721.51,1.06577,0.4679,1.04863,0.94499,0.90008,0.96443,0.67449,1.15842,0.48974,1.06992,0.000346736,0.000346736,0.000346736
34,9992.78,1.05578,0.46574,1.04619,0.94753,0.90774,0.9657,0.67138,1.16801,0.49066,1.06988,0.000305478,0.000305478,0.000305478
35,10263.1,1.05359,0.46117,1.04306,0.94451,0.90566,0.9646,0.67258,1.16448,0.48405,1.06891,0.00026422,0.00026422,0.00026422
36,10533.7,1.04767,0.45256,1.039,0.92551,0.92433,0.96495,0.67362,1.15902,0.48405,1.06613,0.000222961,0.000222961,0.000222961
37,10804.9,1.04221,0.44767,1.03554,0.94722,0.91466,0.96498,0.67436,1.15621,0.48468,1.06295,0.000181703,0.000181703,0.000181703
38,11075,1.03583,0.44419,1.03287,0.94099,0.91,0.96419,0.67112,1.16133,0.47898,1.0668,0.000140445,0.000140445,0.000140445
39,11345.4,1.0346,0.43953,1.03251,0.94165,0.9113,0.96399,0.6739,1.1584,0.47474,1.06658,9.91865e-05,9.91865e-05,9.91865e-05
40,11616.9,1.02613,0.4309,1.02937,0.93365,0.9201,0.96424,0.67409,1.15756,0.47379,1.06456,5.79283e-05,5.79283e-05,5.79283e-05
