epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.208,1.37903,1.36731,1.13772,0.87557,0.8346,0.91039,0.56016,1.35027,1.03846,1.12865,0.000555201,0.000555201,0.000555201
2,520.197,1.32932,0.95159,1.13076,0.9119,0.86207,0.92846,0.5943,1.27583,0.76081,1.10604,0.00108887,0.00108887,0.00108887
3,778.947,1.32061,0.86608,1.13534,0.90483,0.86951,0.93301,0.59475,1.28643,0.71032,1.11683,0.00160054,0.00160054,0.00160054
4,1033.82,1.29723,0.82418,1.12128,0.9068,0.87448,0.94201,0.61779,1.24649,0.68898,1.09637,0.00156798,0.00156798,0.00156798
5,1288.01,1.28783,0.78128,1.11835,0.90804,0.88964,0.9424,0.62108,1.23228,0.66153,1.09657,0.00153497,0.00153497,0.00153497
6,1541.85,1.26882,0.74884,1.11463,0.92118,0.86765,0.94554,0.61235,1.25836,0.65305,1.09753,0.00150197,0.00150197,0.00150197
7,1794.67,1.25174,0.73878,1.10323,0.93785,0.85996,0.94427,0.63149,1.22396,0.63542,1.08814,0.00146896,0.00146896,0.00146896
8,2047.99,1.24549,0.70496,1.09676,0.94,0.86353,0.94546,0.63314,1.21394,0.6286,1.08236,0.00143595,0.00143595,0.00143595
9,2302.22,1.23546,0.69572,1.09686,0.95041,0.87588,0.95169,0.63772,1.21258,0.60516,1.08213,0.00140295,0.00140295,0.00140295
10,2586.63,1.23194,0.68727,1.09136,0.92325,0.89352,0.95055,0.6435,1.19553,0.58497,1.07352,0.00136994,0.00136994,0.00136994
